Grouping,Span,Mat,Inns,Not Out,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,Seam Dismissal,Spin Dismissal
In Australia,2018-2025,12,21,2,879,159*,46.26,1297,67.77,1,3,0,85,15,63.15%,36.85%
In Bangladesh,2022-2022,2,3,0,148,93,49.33,162,91.35,0,1,0,14,7,0%,100%
In England,2018-2022,9,17,0,556,146,32.7,838,66.34,2,2,1,66,11,64.70%,35.30%
In India,2018-2024,13,21,2,1061,109,55.84,1181,89.83,2,9,1,124,34,36.84%,57.89%
In New Zealand,2020-2020,2,4,0,60,25,15,122,49.18,0,0,0,7,1,100%,0%
In South Africa,2021-2022,3,6,1,186,100*,37.2,282,65.95,1,0,1,18,4,100%,0%
In West Indies,2019-2019,2,3,0,58,27,19.33,122,47.54,0,0,0,6,1,66.67%,33.33%
