Grouping,Span,Mat,Inns,Not Out,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,Seam Dismissal,Spin Dismissal
In Australia,2020-2025,6,11,1,352,91,35.2,590,59.66,0,2,0,48,2,70%,20%
In Bangladesh,2022-2022,2,4,0,157,110,39.25,266,59.02,1,0,0,14,4,0%,100%
In England,2021-2023,3,6,0,88,28,14.66,158,55.69,0,0,0,12,0,100%,0%
In India,2021-2024,17,31,3,1177,128,42.03,1970,59.74,4,5,5,119,25,39%,57%
In South Africa,2023-2024,2,4,0,74,36,18.5,115,64.34,0,0,0,13,0,100%,0%
In West Indies,2023-2023,2,3,1,45,29*,22.5,60,75,0,0,0,4,0,50%,50%
